CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES00XXXXXXXXXXXXXXDB;06/09/2015;1;0,267;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;2;0,143;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;3;0,118;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;4;0,106;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;5;0,108;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;6;0,099;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;7;0,106;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;8;0,1;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;9;0,106;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;10;0,102;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;11;0,201;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;12;0,167;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;13;0,171;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;14;0,497;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;15;0,209;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;16;0,115;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;17;0,116;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;18;0,102;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;19;0,109;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;20;0,356;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;21;0,637;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;22;0,457;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;23;0,363;R
ES00XXXXXXXXXXXXXXDB;06/09/2015;24;0,321;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;1;0,257;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;2;0,105;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;3;0,107;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;4;0,098;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;5;0,112;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;6;0,093;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;7;0,125;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;8;0,185;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;9;0,137;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;10;0,155;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;11;0,448;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;12;0,499;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;13;0,137;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;14;0,102;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;15;0,112;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;16;0,099;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;17;0,115;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;18;0,129;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;19;0,17;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;20;0,268;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;21;1,687;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;22;0,361;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;23;0,4;R
ES00XXXXXXXXXXXXXXDB;07/09/2015;24;0,567;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;1;0,372;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;2;0,145;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;3;0,141;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;4;0,12;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;5;0,118;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;6;0,098;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;7;0,111;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;8;0,202;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;9;0,303;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;10;0,118;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;11;0,8;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;12;1,094;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;13;0,434;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;14;0,162;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;15;0,16;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;16;0,152;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;17;0,141;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;18;0,109;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;19;0,77;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;20;0,179;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;21;0,796;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;22;1,13;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;23;0,725;R
ES00XXXXXXXXXXXXXXDB;08/09/2015;24;0,253;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;1;0,133;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;2;0,119;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;3;0,116;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;4;0,144;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;5;0,139;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;6;0,116;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;7;0,103;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;8;0,293;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;9;0,11;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;10;0,655;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;11;0,126;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;12;0,112;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;13;0,107;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;14;0,628;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;15;0,161;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;16;0,17;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;17;0,13;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;18;0,189;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;19;0,393;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;20;0,251;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;21;0,937;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;22;0,454;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;23;0,415;R
ES00XXXXXXXXXXXXXXDB;09/09/2015;24;1,02;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;1;0,263;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;2;0,163;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;3;0,112;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;4;0,113;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;5;0,095;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;6;0,113;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;7;0,102;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;8;0,264;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;9;0,143;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;10;0,146;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;11;0,781;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;12;0,195;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;13;0,125;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;14;0,858;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;15;0,194;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;16;0,211;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;17;0,219;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;18;0,144;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;19;0,143;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;20;0,263;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;21;0,966;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;22;0,445;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;23;0,311;R
ES00XXXXXXXXXXXXXXDB;10/09/2015;24;1,445;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;1;0,431;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;2;0,105;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;3;0,113;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;4;0,146;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;5;0,131;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;6;0,107;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;7;0,099;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;8;0,206;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;9;0,12;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;10;0,126;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;11;0,17;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;12;0,95;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;13;1,011;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;14;0,35;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;15;0,68;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;16;0,3;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;17;0,242;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;18;0,16;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;19;0,131;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;20;0,254;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;21;0,52;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;22;0,381;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;23;0,404;R
ES00XXXXXXXXXXXXXXDB;11/09/2015;24;0,341;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;1;0,293;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;2;0,122;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;3;0,108;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;4;0,112;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;5;0,115;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;6;0,103;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;7;0,156;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;8;0,117;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;9;0,1;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;10;0,279;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;11;0,226;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;12;0,122;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;13;0,734;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;14;0,211;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;15;0,106;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;16;0,138;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;17;0,717;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;18;0,124;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;19;0,159;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;20;0,332;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;21;0,115;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;22;0,095;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;23;0,362;R
ES00XXXXXXXXXXXXXXDB;12/09/2015;24;0,541;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;1;0,696;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;2;0,369;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;3;0,22;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;4;0,124;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;5;0,1;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;6;0,114;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;7;0,097;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;8;0,111;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;9;0,098;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;10;0,107;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;11;0,263;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;12;0,175;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;13;0,441;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;14;0,156;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;15;0,104;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;16;0,1;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;17;0,111;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;18;0,094;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;19;0,115;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;20;0,093;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;21;0,232;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;22;0,7;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;23;0,265;R
ES00XXXXXXXXXXXXXXDB;13/09/2015;24;0,506;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;1;0,256;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;2;0,102;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;3;0,113;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;4;0,102;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;5;0,098;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;6;0,111;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;7;0,098;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;8;0,266;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;9;0,211;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;10;0,901;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;11;1,105;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;12;0,38;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;13;0,247;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;14;0,527;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;15;0,149;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;16;0,209;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;17;0,133;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;18;0,105;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;19;0,149;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;20;0,723;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;21;0,621;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;22;0,353;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;23;0,852;R
ES00XXXXXXXXXXXXXXDB;14/09/2015;24;0,365;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;1;0,157;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;2;0,1;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;3;0,113;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;4;0,114;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;5;0,103;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;6;0,122;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;7;0,15;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;8;0,142;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;9;0,27;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;10;0,242;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;11;0,134;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;12;0,126;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;13;0,102;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;14;0,13;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;15;0,229;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;16;0,133;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;17;0,195;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;18;0,199;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;19;0,118;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;20;0,373;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;21;0,669;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;22;0,214;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;23;0,273;R
ES00XXXXXXXXXXXXXXDB;15/09/2015;24;0,345;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;1;0,226;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;2;0,139;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;3;0,106;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;4;0,115;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;5;0,11;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;6;0,1;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;7;0,113;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;8;0,144;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;9;0,453;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;10;0,318;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;11;0,145;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;12;0,125;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;13;0,111;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;14;0,103;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;15;0,106;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;16;0,105;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;17;0,099;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;18;0,152;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;19;0,262;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;20;1,549;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;21;0,414;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;22;0,303;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;23;0,355;R
ES00XXXXXXXXXXXXXXDB;16/09/2015;24;0,309;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;1;0,192;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;2;0,102;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;3;0,1;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;4;0,11;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;5;0,094;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;6;0,11;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;7;0,097;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;8;0,394;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;9;0,674;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;10;0,859;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;11;0,914;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;12;0,584;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;13;0,123;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;14;0,454;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;15;0,38;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;16;0,48;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;17;0,189;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;18;0,792;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;19;0,474;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;20;0,964;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;21;0,535;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;22;0,308;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;23;0,411;R
ES00XXXXXXXXXXXXXXDB;17/09/2015;24;0,373;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;1;0,426;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;2;0,184;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;3;0,104;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;4;0,113;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;5;0,1;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;6;0,105;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;7;0,098;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;8;0,301;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;9;0,529;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;10;0,315;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;11;0,426;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;12;0,504;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;13;0,14;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;14;0,376;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;15;0,151;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;16;0,269;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;17;0,748;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;18;0,108;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;19;0,118;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;20;0,1;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;21;0,135;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;22;0,138;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;23;0,107;R
ES00XXXXXXXXXXXXXXDB;18/09/2015;24;0,098;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;1;0,112;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;2;0,102;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;3;0,093;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;4;0,106;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;5;0,108;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;6;0,093;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;7;0,097;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;8;0,107;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;9;0,094;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;10;0,094;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;11;0,106;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;12;0,094;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;13;0,089;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;14;0,106;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;15;0,104;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;16;0,09;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;17;0,099;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;18;0,106;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;19;0,093;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;20;0,091;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;21;0,106;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;22;0,099;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;23;0,09;R
ES00XXXXXXXXXXXXXXDB;19/09/2015;24;0,102;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;1;0,106;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;2;0,092;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;3;0,095;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;4;0,108;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;5;0,094;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;6;0,089;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;7;0,107;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;8;0,101;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;9;0,089;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;10;0,103;R
ES00XXXXXXXXXXXXXXDB;20/09/2015;11;0,1;R
